rank,op_name,mean_mse,mean_cos
1,onnx::MatMul_699,0.0007019379466258622,0.9995481025938175
2,onnx::MatMul_686,0.0007134991356434749,0.9995406726785815
3,onnx::MatMul_689,0.0007437157157121027,0.9995212150714972
4,onnx::MatMul_712,0.0007523959584729617,0.9995156624445046
5,onnx::MatMul_676,0.0007576665088717181,0.9995122282059967
6,onnx::MatMul_673,0.0007620222159526583,0.9995094318410633
7,onnx::MatMul_663,0.000774539317766685,0.9995013645492784
8,onnx::MatMul_664,0.0007977944795489646,0.9994864074520367
9,onnx::MatMul_702,0.0008009247147487942,0.9994843639466424
10,onnx::MatMul_651,0.0008014762638696388,0.9994840395912213
11,onnx::MatMul_714,0.0008027580533921452,0.9994832123265845
12,onnx::MatMul_677,0.000805965893773028,0.9994811328655318
13,base.transformer.layer.3.sa_layer_norm.weight,0.0008073829284145659,0.9994802395085429
14,onnx::MatMul_690,0.0008081022814217803,0.9994797709502288
15,onnx::MatMul_650,0.0008089810989178134,0.9994792035598776
16,onnx::MatMul_716,0.0008107125582778601,0.9994781042931483
17,onnx::MatMul_715,0.0008108338536897324,0.999477992647798
18,onnx::MatMul_660,0.0008131543157308616,0.9994765128449071
19,onnx::MatMul_704,0.0008171606764161299,0.9994739312732146
20,onnx::MatMul_662,0.0008176968684335602,0.9994735935235417
21,base.transformer.layer.4.sa_layer_norm.weight,0.0008178405373294376,0.9994734924194907
22,onnx::MatMul_703,0.0008180408545301007,0.9994733706381806
23,base.transformer.layer.4.output_layer_norm.weight,0.0008193588234291136,0.9994725287844599
24,onnx::MatMul_688,0.0008201171420897385,0.9994720333967199
25,onnx::MatMul_685,0.0008202822400199062,0.9994719272475783
26,onnx::MatMul_711,0.0008203376268831692,0.9994718870541988
27,base.transformer.layer.2.output_layer_norm.weight,0.0008207413646788214,0.9994716287276105
28,onnx::MatMul_675,0.0008209707133825834,0.9994714850523276
29,onnx::MatMul_665,0.0008211880987919224,0.9994713387759881
30,onnx::MatMul_672,0.000822419912226853,0.9994705539551686
31,base.transformer.layer.1.output_layer_norm.weight,0.0008224742827400432,0.9994705114801963
32,base.transformer.layer.1.sa_layer_norm.weight,0.0008224806472274952,0.9994705099026799
33,onnx::MatMul_678,0.0008233349109143076,0.9994699565005866
34,base.transformer.layer.5.sa_layer_norm.weight,0.0008233807163368384,0.9994699115021839
35,onnx::MatMul_691,0.0008235130385376665,0.999469838489941
36,onnx::MatMul_659,0.0008236570492189175,0.9994697531929517
37,onnx::MatMul_639,0.0008237944411934976,0.9994696647096132
38,base.transformer.layer.0.sa_layer_norm.weight,0.0008238825003259683,0.9994696067468472
39,base.embeddings.LayerNorm.weight,0.0008240332199922367,0.9994695136779862
40,base.transformer.layer.5.output_layer_norm.weight,0.0008242199233869886,0.9994694211985273
41,onnx::MatMul_647,0.000824307917376097,0.9994693287015736
42,onnx::MatMul_649,0.0008245186486442139,0.999469198311607
43,/base/transformer/layer.2/output_layer_norm/LayerNormalization_output_0,0.0008245333370092171,0.9994691895657529
44,onnx::MatMul_646,0.0008247758065772732,0.9994690332679359
45,/base/transformer/layer.0/attention/Softmax_output_0,0.0008249520251472424,0.9994689187690873
46,/base/transformer/layer.1/attention/v_lin/Add_output_0,0.0008250286194123542,0.9994688696428432
47,/base/transformer/layer.3/Add_1_output_0,0.0008250593573484335,0.9994688484845807
48,/base/transformer/layer.0/Add_1_output_0,0.0008250779909497692,0.9994688377685513
