tokens
289
429
299
203
264
327
322
295
274
317
286
354
255
327
233
269
434
426
222
364
262
336
396
361
236
275
223
410
215
386
282
317
346
223
285
304
277
363
369
252
343
439
306
330
264
210
342
193
222
291
383
366
187
363
324
282
259
279
210
249
347
256
259
234
342
310
222
217
278
327
323
226
274
404
271
229
425
386
341
405
419
373
356
271
307
382
361
453
277
350
259
271
246
248
247
201
398
317
213
221
230
236
203
380
370
290
332
268
331
258
254
299
268
310
387
285
218
415
228
322
282
385
386
194
267
347
255
288
243
371
301
396
411
235
343
205
417
199
373
364
229
357
367
287
375
203
196
251
364
332
318
253
357
315
282
193
267
253
418
207
299
361
202
227
329
278
236
244
435
330
201
427
258
196
273
446
284
251
340
318
245
286
436
350
270
219
284
282
223
289
200
290
324
217
360
342
266
229
209
312
